Учебна седмица,Тема,Тип
1,Математически анализ – преговор,ОС
1,Геометричен смисъл на понятието производна,НЗ
1,Геометричен смисъл на понятието производна,УПР
2,Производни на функции от по-висок ред. Втора производна на функция,НЗ
2,Производни на функции от по-висок ред. Втора производна на функция,УПР
2,Механичен смисъл на понятието производна,НЗ
2,Признаци за растене и намаляване на функция,НЗ
3,Признаци за растене и намаляване на функция,УПР
3,Най-голяма и най-малка стойност на функция,НЗ
4,Най-голяма и най-малка стойност на функция,УПР
4,Изпъкналост и вдлъбнатост на функция. Инфлексни точки,НЗ
5,Изпъкналост и вдлъбнатост на функция. Инфлексни точки,УПР
5,Асимптоти,НЗ
5,Асимптоти,УПР
6,Допирателни. Допирателни към криви от втора степен,НЗ
6,Допирателни. Допирателни към криви от втора степен,УПР
7,Изследване на полиномни функции. Графика,НЗ
7,Изследване на полиномни функции. Графика,УПР
8,Изследване на дробно-линейна функция. Графика,НЗ
8,Изследване на дробно-линейна функция. Графика,УПР
9,Приложения на математическия анализ. Общи задачи,УПР
9,Приложения на математическия анализ. Тема за самоконтрол,ПК
10,Екстремални задачи в равнината,НЗ
10,Екстремални задачи в равнината,УПР
11,Екстремални задачи в пространството,НЗ
11,Екстремални задачи в пространството,УПР
11,Комбинации от ротационни тела,НЗ
12,Комбинации от ротационни тела,УПР
13,Комбинации от многостени и сфери,НЗ
14,Комбинации от многостени и сфери,УПР
14,Геометрични модели. Тема за самоконтрол,ПК
15,Проблем – данни – модел – изводи. Примери на реални експерименти,НЗ
15,Кодиране и трансформации на данни,НЗ
15,Кодиране и трансформации на данни,УПР
15,"Емпирично разпределение и описателни статистики, изключения (аутлаери)",НЗ
16,"Емпирично разпределение и описателни статистики, изключения (аутлаери)",УПР
17,Анализ на диаграми на категорна и количествена променлива,НЗ
17,Анализ на диаграми – зависимост на две категорни променливи,НЗ
17,Диаграма на разсейване. Корелационна зависимост,НЗ
17,Диаграма на разсейване. Корелационна зависимост,УПР
18,Емпирични разпределения. Тема за самоконтрол,ПК
18,Съединения с повторения,НЗ
18,Съединения с повторения,УПР
18,Елементи от комбинаториката. Тема за самоконтрол,ПК
